date,open,high,low,close,volume,dividends,splits
2015-03-18,0.711,0.719,0.711,0.719,19700,0,0
2015-03-19,0.72,0.72,0.72,0.72,0,0,0
2015-03-20,0.725,0.725,0.725,0.725,200,0,0
2015-03-23,0.73,0.73,0.73,0.73,0,0,0
2015-03-24,0.73,0.73,0.73,0.73,0,0,0
2015-03-25,0.73,0.73,0.73,0.73,0,0,0
2015-03-26,0.73,0.73,0.73,0.73,0,0,0
2015-03-27,0.73,0.73,0.73,0.73,0,0,0
2015-03-30,0.73,0.73,0.73,0.73,0,0,0
2015-03-31,0.73,0.73,0.73,0.73,0,0,0
2015-04-01,0.73,0.73,0.73,0.73,0,0,0
2015-04-02,0.73,0.73,0.73,0.73,0,0,0
2015-04-06,0.73,0.73,0.73,0.73,0,0,0
2015-04-07,0.73,0.73,0.73,0.73,0,0,0
2015-04-08,0.95,0.95,0.95,0.95,50000,0,0
2015-04-09,0.95,0.95,0.95,0.95,0,0,0
2015-04-10,0.95,0.95,0.95,0.95,0,0,0
2015-04-13,0.95,0.95,0.95,0.95,0,0,0
2015-04-14,0.95,0.95,0.95,0.95,0,0,0
2015-04-15,0.95,0.95,0.95,0.95,0,0,0
2015-04-16,0.95,0.95,0.95,0.95,0,0,0
2015-04-17,0.95,0.95,0.95,0.95,0,0,0
2015-04-20,0.95,0.95,0.95,0.95,0,0,0
2015-04-21,0.95,0.95,0.95,0.95,0,0,0
2015-04-22,0.95,0.95,0.95,0.95,0,0,0
2015-04-23,0.95,0.95,0.95,0.95,0,0,0
2015-04-24,0.95,0.95,0.95,0.95,0,0,0
2015-04-27,0.95,0.95,0.95,0.95,0,0,0
2015-04-28,0.95,0.95,0.95,0.95,0,0,0
2015-04-29,0.95,0.95,0.95,0.95,0,0,0
2015-04-30,0.95,0.95,0.95,0.95,0,0,0
2015-05-01,0.95,0.95,0.95,0.95,0,0,0
2015-05-04,0.95,0.95,0.95,0.95,0,0,0
2015-05-05,0.95,0.95,0.95,0.95,0,0,0
2015-05-06,0.855,0.855,0.855,0.855,1000,0,0
2015-05-07,0.85,0.85,0.85,0.85,0,0,0
2015-05-08,0.831,0.831,0.831,0.831,1200,0,0
2015-05-11,0.83,0.83,0.83,0.83,0,0,0
2015-05-12,0.83,0.83,0.83,0.83,0,0,0
2015-05-13,0.83,0.83,0.83,0.83,0,0,0
2015-05-14,0.83,0.83,0.83,0.83,0,0,0
2015-05-15,0.83,0.83,0.83,0.83,0,0,0
2015-05-18,0.83,0.83,0.83,0.83,0,0,0
2015-05-19,0.83,0.83,0.83,0.83,0,0,0
2015-05-20,0.83,0.83,0.83,0.83,0,0,0
2015-05-21,0.83,0.83,0.83,0.83,0,0,0
2015-05-22,0.83,0.83,0.83,0.83,0,0,0
2015-05-26,0.83,0.83,0.83,0.83,0,0,0
2015-05-27,0.83,0.83,0.83,0.83,0,0,0
2015-05-28,0.83,0.83,0.83,0.83,0,0,0
2015-05-29,0.83,0.83,0.83,0.83,0,0,0
2015-06-01,0.83,0.83,0.83,0.83,0,0,0
2015-06-02,0.83,0.83,0.83,0.83,0,0,0
2015-06-03,0.83,0.83,0.83,0.83,0,0,0
2015-06-04,0.83,0.83,0.83,0.83,0,0,0
2015-06-05,0.83,0.83,0.83,0.83,0,0,0
2015-06-08,0.83,0.83,0.83,0.83,0,0,0
